GPI per Capita and Sub-Indicators,US Population,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,\Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Cost of Noise Pollution,-101,-75,-82,-113,-71,-119,-107,-111,-105,-114,-94,-115,-89,-112,-91,-81,-94,-74,-92,-49,-109,-116,-95,-92,-62,-89,-70,-92,-119,-76,-120,-97,-111,-83,-75,-99,-83,-102,-100,-115,-83,-71,-84,-105,-113,-49,-95,-105,-62,-89,-82
Cost of Net Wetland Change,10,-605,"62,666",-132,-605,-24,-71,-34,-95,-192,-125,-8,-100,-115,-155,-236,-53,-65,-638,-875,-51,-22,-204,-508,-598,-146,-207,-285,-32,-30,-31,-63,-24,-207,"-1,296",-78,-136,-105,-16,-18,-247,-598,-55,-113,-51,-97,-41,-36,-13,-309,-636
Cost of Net Farmland Change,-769,"-1,240",4,-800,"-1,549",-970,-803,-421,"-1,250",-558,"-1,381",-465,"-2,454",-457,"-1,050","-2,418",-977,-687,-534,"-1,308",-517,-208,-753,"-1,296","-2,306",-648,-802,"-1,309",-240,-421,-244,-639,-439,"-1,721","-1,357",-630,-290,-699,-567,-139,-927,-939,-623,-329,-274,"-2,594",-554,-531,-565,"-1,677","-1,101"
Cost of Net Forest Cover Change,-223,-545,"-1,282",264,"-1,824",30,509,-143,-359,-255,-432,6,-618,-246,-936,-319,135,-979,-925,-342,-223,-92,-524,-829,"-1,046",-756,953,23,"1,100",-193,-107,"1,631",-174,-473,193,-557,-58,-98,-340,-107,-373,230,-638,325,"1,515",-672,-416,-188,-552,-657,"-1,422"
Cost of Climate Change,"-2,493","-4,018","-6,965","-1,933","-3,406","-1,307","-2,428","-1,365","-1,947","-1,709","-2,317","-1,869","-1,574","-2,452","-4,369","-3,891","-3,505","-4,617","-7,133","-2,663","-1,568","-1,426","-2,271","-2,489","-2,958","-3,083","-4,280","-3,816","-1,661","-1,883","-1,791","-3,719","-1,160","-1,908","-10,449","-2,809","-3,871","-1,428","-2,698","-1,411","-2,512","-2,448","-2,316","-3,994","-3,055","-1,533","-1,765","-1,528","-7,061","-2,494","-14,983"
Cost of Ozone Depletion,"-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018","-2,018"
Cost of Nonrenewable Energy Resource Depletion,"-8,172","-13,873","-22,869","-7,325","-10,783","-4,548","-7,282","-5,954","-6,249","-5,661","-7,391","-5,461","-4,264","-9,597","-12,103","-11,311","-11,054","-12,511","-23,131","-6,323","-5,248","-4,905","-7,658","-7,986","-10,289","-8,982","-11,984","-12,038","-5,830","-7,814","-6,902","-10,990","-4,547","-6,568","-27,747","-8,402","-12,001","-4,111","-9,788","-5,023","-10,539","-7,303","-7,694","-12,819","-8,881","-6,963","-6,027","-4,301","-18,533","-7,529","-41,331"
Benefits of Housework,"6,864","5,962","7,350","6,212","5,667","7,447","6,833","7,864","6,459","6,434","5,903","9,956","5,920","7,117","6,063","6,483","5,821","6,070","5,882","6,982","6,955","8,871","7,178","7,117","5,679","6,193","6,276","6,053","8,641","7,224","7,327","6,070","9,664","6,136","6,375","6,648","5,838","7,044","7,028","7,957","6,143","6,048","5,971","5,682","5,653","7,548","6,397","7,486","6,435","6,534","6,257"
Cost of Family Changes,-217,-243,-263,-208,-268,-216,-235,-210,-211,-224,-214,-200,-250,-197,-225,-192,-236,-225,-233,-242,-201,-195,-227,-224,-241,-232,-230,-223,-249,-233,-204,-212,-202,-212,-200,-224,-266,-218,-197,-215,-201,-214,-237,-202,-216,-229,-221,-229,-266,-204,-252
Cost of Crime,-250,-310,-292,-319,-311,-252,-208,-186,-298,-284,-280,-141,-142,-288,-246,-132,-237,-201,-467,-131,-319,-188,-323,-140,-333,-300,-185,-214,-297,-135,-202,-386,-197,-258,-200,-238,-308,-164,-244,-153,-363,-193,-328,-253,-144,-121,-178,-191,-221,-150,-170
Cost of Personal Pollution Abatement,-239,-213,-227,-269,-235,-226,-262,-214,-266,-259,-206,-250,-248,-250,-233,-251,-247,-210,-234,-228,-220,-239,-235,-238,-204,-241,-285,-258,-302,-213,-269,-199,-252,-206,-264,-251,-243,-234,-240,-251,-226,-254,-220,-249,-187,-213,-238,-250,-211,-246,-296
Benefits of Volunteer Work,569,497,635,543,456,651,597,679,607,530,528,572,468,587,497,491,497,489,485,527,660,711,557,582,431,513,473,486,525,588,656,507,681,520,498,528,476,567,570,618,489,442,496,523,472,567,622,638,471,526,535
Cost of Lost Leisure Time,"-2,216","-1,766","-2,654","-1,991","-1,696","-2,362","-2,535","-2,804","-2,342","-1,924","-2,016","-2,128","-1,844","-2,331","-1,921","-2,209","-2,165","-1,829","-1,790","-2,137","-2,836","-2,903","-1,984","-2,635","-1,531","-2,053","-1,843","-2,294","-1,954","-2,652","-2,622","-1,825","-2,613","-1,929","-2,406","-2,099","-1,889","-2,192","-2,247","-2,437","-1,735","-2,042","-1,901","-2,132","-2,014","-2,569","-2,641","-2,482","-1,603","-2,254","-2,396"
Benefits of Higher Education,"3,942","3,098","3,482","3,620","2,806","4,108","5,078","5,156","4,051","3,749","3,709","4,146","3,320","4,293","3,139","3,568","4,059","2,951","2,866","4,211","5,171","5,568","3,569","4,509","2,658","3,639","3,998","3,786","3,131","4,843","5,014","3,486","4,653","3,728","3,597","3,466","3,246","4,187","3,859","4,407","3,353","3,588","3,310","3,460","3,548","5,132","4,905","4,479","2,698","3,716","3,418"
Benefits of Highways and Streets,755,"1,219","1,326",579,"1,961",263,995,344,403,367,725,184,"1,765",625,858,"2,149","2,818","1,045",776,991,319,316,712,"1,493","1,453","1,262","4,321","2,925",780,702,256,"1,894",338,632,"7,303",615,"1,716",880,541,355,813,"5,765",859,703,934,"1,313",529,707,"1,200","1,160","2,867"
Cost of Commuting,"-1,319",-972,"-1,153","-1,102",-805,"-1,517","-1,390","-1,567","-1,354","-1,106","-1,228","-1,397",-802,"-1,551","-1,032",-892,-911,-922,"-1,052","-1,094","-2,039","-1,902","-1,098","-1,316",-829,"-1,072",-767,-889,"-1,132","-1,479","-1,933",-918,"-2,135","-1,046",-843,"-1,075",-885,"-1,074","-1,327","-1,332",-947,-726,"-1,019","-1,190",-995,"-1,162","-1,604","-1,488",-924,"-1,091",-997
Cost of Motor Vehicle Crashes,"-5,179","-9,269","-4,954","-6,353","-9,304","-3,689","-4,351","-3,055","-5,429","-6,259","-6,207","-3,614","-5,252","-3,555","-5,732","-5,851","-6,697","-8,223","-7,348","-5,098","-4,136","-2,540","-4,483","-3,427","-10,538","-6,498","-10,433","-4,893","-4,504","-3,401","-3,534","-8,458","-2,985","-6,332","-10,764","-4,384","-9,160","-4,262","-5,026","-3,129","-8,824","-6,712","-7,362","-5,860","-4,247","-4,372","-4,695","-3,336","-9,048","-5,076","-11,850"

